"","topic","term","beta"
"1",1,"autre",0.00677630786662049
"2",1,"premier",0.00635889653421763
"3",1,"devoir",0.00632661434994451
"4",1,"épidémie",0.00462453081008309
"5",1,"pays",0.00449923390050508
"6",1,"000",0.00443105111389548
"7",1,"gouvernement",0.00396032961555441
"8",1,"covid",0.00387095483251072
"9",1,"jour",0.00369761896602364
"10",1,"certain",0.00359478821691403
"11",1,"ministre",0.00358549247342693
"12",1,"euro",0.00357126817494919
"13",1,"moins",0.00341420730994902
"14",1,"mois",0.00326016749711819
"15",1,"t",0.00321139096230076
"16",1,"nouveau",0.00319608101404581
"17",1,"grand",0.00312553304119846
"18",1,"alors",0.0030851560117772
"19",1,"année",0.00304679884483897
"20",1,"prendre",0.00293318399553556
"21",2,"juillet",0.00789580625295716
"22",2,"19",0.00512632763334145
"23",2,"premier",0.00484783294225345
"24",2,"devoir",0.00478994785119302
"25",2,"cas",0.00402127540814885
"26",2,"nombre",0.00365043354598019
"27",2,"coronavirus",0.00348449226112672
"28",2,"masque",0.0034309423441425
"29",2,"aller",0.00333259132592907
"30",2,"covid",0.0032471917846593
"31",2,"épidémie",0.00315678674941015
"32",2,"semaine",0.00312973061790951
"33",2,"très",0.0030984927270282
"34",2,"selon",0.00308725489176764
"35",2,"deux",0.00304619395866388
"36",2,"sans",0.00301989108288328
"37",2,"gouvernement",0.00301977246141756
"38",2,"jour",0.00299620905424495
"39",2,"euro",0.00296628817730968
"40",2,"après",0.00296616686739056
"41",3,"pays",0.00799881589461056
"42",3,"covid",0.00672000053585094
"43",3,"même",0.00581189212352512
"44",3,"autre",0.0057846552930783
"45",3,"depuis",0.00571794638212704
"46",3,"cas",0.00551942333263806
"47",3,"nouveau",0.0050898558286215
"48",3,"dont",0.00486558828411826
"49",3,"président",0.00485821335803343
"50",3,"000",0.00480098405935364
"51",3,"dernier",0.00477939030861679
"52",3,"si",0.0046869687577728
"53",3,"deux",0.00434547113683273
"54",3,"million",0.004244010894668
"55",3,"mois",0.00424361219079469
"56",3,"an",0.00416749125831178
"57",3,"annoncer",0.00354705625303271
"58",3,"également",0.00354639501265187
"59",3,"selon",0.00352006001340209
"60",3,"t",0.00347745466779996
"61",4,"octobre",0.00582606831239504
"62",4,"19",0.00564451764442329
"63",4,"même",0.00448429986365799
"64",4,"jour",0.00432661237479579
"65",4,"covid",0.00410928692964422
"66",4,"autre",0.00397731678870696
"67",4,"nouveau",0.0039502099987426
"68",4,"premier",0.00394138971630967
"69",4,"aller",0.00311108800387961
"70",4,"celui",0.0030964059689807
"71",4,"après",0.00306564939857491
"72",4,"deux",0.00303479463156054
"73",4,"monde",0.00299991888935125
"74",4,"t",0.00292426094743716
"75",4,"an",0.00289090250959053
"76",4,"heure",0.00280000801981684
"77",4,"dont",0.00275019296825082
"78",4,"gouvernement",0.00273863971735301
"79",4,"devoir",0.00273764792188731
"80",4,"crise",0.00271846511255783
"81",5,"chine",0.00972736060781093
"82",5,"coronavirus",0.00877966018504154
"83",5,"cas",0.00840480116578427
"84",5,"épidémie",0.00762976262854481
"85",5,"pays",0.00648930702584155
"86",5,"nouveau",0.00576968354480072
"87",5,"chinois",0.00573153834687003
"88",5,"février",0.00533970687632959
"89",5,"virus",0.00524292997667252
"90",5,"santé",0.00519845240542172
"91",5,"deux",0.0042135272466948
"92",5,"jour",0.00417156994491855
"93",5,"devoir",0.0040865123455963
"94",5,"annoncer",0.00400927843034244
"95",5,"autre",0.00392175995113365
"96",5,"premier",0.00377575419832928
"97",5,"après",0.00342677565047277
"98",5,"depuis",0.0033702417484213
"99",5,"quarantaine",0.00335676491011822
"100",5,"19",0.00330972129242992
"101",6,"covid",0.00888237381254656
"102",6,"france",0.00657034641606247
"103",6,"premier",0.00582805342610259
"104",6,"depuis",0.00518371820771311
"105",6,"entre",0.00491844381810636
"106",6,"deux",0.00479454177171842
"107",6,"mesure",0.00450835072624096
"108",6,"selon",0.00443741500727583
"109",6,"après",0.00442173435341717
"110",6,"jour",0.00430003042700232
"111",6,"président",0.00426452650453958
"112",6,"épidémie",0.00422409747208857
"113",6,"ministre",0.00417622528882001
"114",6,"où",0.00413404283744762
"115",6,"gouvernement",0.0039966069376171
"116",6,"contre",0.00391114272008606
"117",6,"sans",0.00379384101313213
"118",6,"heure",0.00373373517287637
"119",6,"passer",0.00360683760137201
"120",6,"prendre",0.00354075233809364
"121",7,"décembre",0.00652406450856648
"122",7,"19",0.00569673441949705
"123",7,"premier",0.00514408526046236
"124",7,"vaccin",0.0046274230063418
"125",7,"an",0.00379829662887637
"126",7,"devoir",0.0036965497806268
"127",7,"covid",0.00318469497094622
"128",7,"celui",0.00317287877040579
"129",7,"avant",0.00312357885794763
"130",7,"nouveau",0.00308227272813718
"131",7,"même",0.00305226653729532
"132",7,"si",0.00287807360804576
"133",7,"pays",0.00282309915466524
"134",7,"aller",0.00274926940937458
"135",7,"après",0.00273309897601776
"136",7,"européen",0.0027174522905872
"137",7,"autre",0.00271084001637621
"138",7,"public",0.00263071461134016
"139",7,"jour",0.00262433097538579
"140",7,"année",0.00259031739106744
"141",8,"19",0.0131299269057566
"142",8,"pays",0.0071067315741859
"143",8,"deux",0.00597141394868339
"144",8,"épidémie",0.00572007559673619
"145",8,"covid",0.00565203151402488
"146",8,"jour",0.00524212250056658
"147",8,"autre",0.00479676313618122
"148",8,"gouvernement",0.00475106957380717
"149",8,"si",0.00469251903336632
"150",8,"aller",0.00465724476845569
"151",8,"devoir",0.00424902885647166
"152",8,"celui",0.00423567069441339
"153",8,"après",0.00420934192759391
"154",8,"santé",0.00412650922234567
"155",8,"cas",0.00387689169961499
"156",8,"t",0.00383986237937092
"157",8,"fin",0.00382059319322255
"158",8,"moins",0.00368797977202836
"159",8,"2",0.00366477599888358
"160",8,"entre",0.00360013244972287
"161",9,"juin",0.00648307402743687
"162",9,"france",0.00573746337473601
"163",9,"crise",0.00460915167859139
"164",9,"nouveau",0.00452385915017335
"165",9,"celui",0.00411837044673563
"166",9,"président",0.00403215032880313
"167",9,"même",0.00381109524399928
"168",9,"deux",0.0035244641791885
"169",9,"devoir",0.0034472476462467
"170",9,"confinement",0.00343125148049776
"171",9,"depuis",0.00332193610034074
"172",9,"premier",0.00330868357129244
"173",9,"pays",0.00323218017564657
"174",9,"annoncer",0.00314028959139575
"175",9,"selon",0.00312636607207655
"176",9,"etat",0.00306758911602955
"177",9,"an",0.00291860309654024
"178",9,"19",0.00289218613004078
"179",9,"si",0.00287834108237276
"180",9,"très",0.00285712307624748
"181",10,"mai",0.00745230594533704
"182",10,"crise",0.0040907473064993
"183",10,"france",0.00393591052419939
"184",10,"devoir",0.00369109215196491
"185",10,"premier",0.00359268981003542
"186",10,"avant",0.00325785570221919
"187",10,"entre",0.00318025794559385
"188",10,"autre",0.00299902805182138
"189",10,"confinement",0.0029648778146959
"190",10,"mesure",0.00285277509278772
"191",10,"très",0.00285031110968639
"192",10,"même",0.00267412263627269
"193",10,"nouveau",0.00259613122691626
"194",10,"an",0.0025934682481663
"195",10,"euro",0.00251294829425737
"196",10,"début",0.0024447427911792
"197",10,"coronavirus",0.00244264425293735
"198",10,"gouvernement",0.00243870048253918
"199",10,"national",0.00242916947213027
"200",10,"travail",0.00242057309282385
"201",11,"covid",0.00658064680501716
"202",11,"épidémie",0.00545006900342216
"203",11,"crise",0.00516385963182768
"204",11,"19",0.00509068858595626
"205",11,"autre",0.00473288626510272
"206",11,"avril",0.00432178070153557
"207",11,"confinement",0.0039151958941158
"208",11,"celui",0.00378246957844543
"209",11,"coronavirus",0.00352923966588869
"210",11,"entre",0.00330081453053717
"211",11,"mesure",0.0032671537642472
"212",11,"dire",0.00322532709086198
"213",11,"falloir",0.00295278728034348
"214",11,"depuis",0.00287214107582893
"215",11,"2",0.00272429532162493
"216",11,"france",0.00267806723008648
"217",11,"000",0.00267209512427515
"218",11,"avant",0.00261180440079804
"219",11,"an",0.00260399870096275
"220",11,"etat",0.00244679558014786
"221",12,"depuis",0.00759907844486666
"222",12,"santé",0.00739170557359076
"223",12,"autre",0.00596310453834995
"224",12,"cas",0.00509770614610558
"225",12,"contre",0.00475548284612988
"226",12,"dire",0.00474762097216151
"227",12,"an",0.0040856163023931
"228",12,"américain",0.00403717774681926
"229",12,"encore",0.00402440891258089
"230",12,"ministre",0.00390129378202743
"231",12,"crise",0.00384897227659626
"232",12,"cela",0.00381689305808827
"233",12,"deux",0.00380664013934217
"234",12,"mois",0.00379657572368243
"235",12,"selon",0.00376093696979803
"236",12,"celui",0.00364565148321638
"237",12,"nouveau",0.00363330869240392
"238",12,"public",0.00354479973384488
"239",12,"confinement",0.00353555461596991
"240",12,"année",0.00349989780286247
"241",13,"19",0.00766390129780634
"242",13,"autre",0.00721936013068443
"243",13,"devoir",0.00633611218392737
"244",13,"santé",0.00608351125648387
"245",13,"sanitaire",0.00587171283771111
"246",13,"deux",0.00527569657199254
"247",13,"depuis",0.00453847637617443
"248",13,"contre",0.00418374022801957
"249",13,"000",0.00413278331177458
"250",13,"épidémie",0.00388448339008614
"251",13,"celui",0.00384041331327066
"252",13,"premier",0.00369966119253789
"253",13,"nombre",0.00361478849350514
"254",13,"permettre",0.00353881470829715
"255",13,"jour",0.0035161984526618
"256",13,"an",0.00343594056006503
"257",13,"monde",0.0033784118631519
"258",13,"sans",0.00337015836455206
"259",13,"covid",0.00314182943336064
"260",13,"pays",0.00313372065077286
"261",14,"mars",0.00709391055184317
"262",14,"épidémie",0.00632517482961936
"263",14,"coronavirus",0.00557869990429907
"264",14,"depuis",0.00452658711930095
"265",14,"cas",0.00436326576323048
"266",14,"jour",0.00433567637709016
"267",14,"annoncer",0.00431768036157503
"268",14,"où",0.00428651159090678
"269",14,"covid",0.00422966308916917
"270",14,"très",0.0040561844136751
"271",14,"si",0.00394470208296892
"272",14,"après",0.00360128928257383
"273",14,"public",0.00358001566001923
"274",14,"semaine",0.00352012580092068
"275",14,"celui",0.00346271842796616
"276",14,"france",0.00339619811439497
"277",14,"19",0.00330784087516677
"278",14,"français",0.00319257281255645
"279",14,"mesure",0.00319128689254469
"280",14,"certain",0.00315508846997199
"281",15,"devoir",0.00946396185136134
"282",15,"même",0.00891635032837498
"283",15,"france",0.00890265563553139
"284",15,"premier",0.00773391772936524
"285",15,"pays",0.00656839857989093
"286",15,"président",0.00489547918080506
"287",15,"depuis",0.00474901305197744
"288",15,"entre",0.00421648057997748
"289",15,"contre",0.00418785709598638
"290",15,"crise",0.00401256198083284
"291",15,"autre",0.00392248489844433
"292",15,"mettre",0.00391472642299133
"293",15,"très",0.00370845454301615
"294",15,"temps",0.00369576629557001
"295",15,"français",0.00338093152145774
"296",15,"jour",0.00334449085363195
"297",15,"mars",0.00330094538544612
"298",15,"général",0.00327597130885651
"299",15,"lors",0.00316149274427902
"300",15,"heure",0.0031420255326232
"301",16,"covid",0.00827584901075282
"302",16,"france",0.0061500038773893
"303",16,"moins",0.00605139489280453
"304",16,"depuis",0.00588147893122417
"305",16,"même",0.0057471489269476
"306",16,"sans",0.00524757761772993
"307",16,"grand",0.00510379620411609
"308",16,"000",0.00507360006820984
"309",16,"après",0.00495731780026393
"310",16,"contre",0.00491920995085434
"311",16,"devoir",0.00478073881180351
"312",16,"si",0.00474631747565247
"313",16,"fin",0.00424566651487683
"314",16,"président",0.00405820660821361
"315",16,"dire",0.00404958061184232
"316",16,"semaine",0.00391016797355981
"317",16,"crise",0.00388092236140054
"318",16,"t",0.00385739084799466
"319",16,"million",0.00382465430346204
"320",16,"mois",0.00373100734857611
"321",17,"avril",0.00818722264716326
"322",17,"même",0.00698497703157443
"323",17,"mars",0.00601602833367562
"324",17,"aller",0.00552920248722144
"325",17,"jour",0.00525850745125569
"326",17,"alors",0.00525602295186513
"327",17,"covid",0.00503500634766501
"328",17,"mettre",0.00475620423567705
"329",17,"celui",0.00470269124165905
"330",17,"mai",0.00432888720891021
"331",17,"sans",0.00413057943061019
"332",17,"confinement",0.00375446482159828
"333",17,"rester",0.00346267292920495
"334",17,"deux",0.00327621379348028
"335",17,"monde",0.0032729769989193
"336",17,"cas",0.00324309219660653
"337",17,"si",0.0032057586535948
"338",17,"premier",0.00319570621683298
"339",17,"gouvernement",0.00311829535783042
"340",17,"coronavirus",0.00304119244984314
"341",18,"novembre",0.00734158619644529
"342",18,"covid",0.0063769452122434
"343",18,"19",0.00593063077044968
"344",18,"si",0.00392080450864198
"345",18,"premier",0.00389309736773076
"346",18,"nouveau",0.00339337723459016
"347",18,"vaccin",0.00323502879167795
"348",18,"sanitaire",0.00308249268605229
"349",18,"octobre",0.00295209552192486
"350",18,"deux",0.00291641300539831
"351",18,"an",0.00286876839558452
"352",18,"celui",0.00278979051849103
"353",18,"bien",0.00269522030380928
"354",18,"devoir",0.00260155973040377
"355",18,"très",0.00256153115706192
"356",18,"confinement",0.00254076688943804
"357",18,"après",0.00253040181672099
"358",18,"moins",0.00252479615325423
"359",18,"grand",0.00252329465794987
"360",18,"mois",0.00246256406253445
"361",19,"covid",0.00626179710431678
"362",19,"pays",0.00480588765926397
"363",19,"alors",0.00418790676713072
"364",19,"entre",0.00417146921129336
"365",19,"mettre",0.00411406697668236
"366",19,"juin",0.00368390657059711
"367",19,"si",0.00367548009124516
"368",19,"même",0.00367433506070033
"369",19,"2",0.0035310569914266
"370",19,"000",0.0035260835065992
"371",19,"autre",0.00352170376566319
"372",19,"cas",0.0034761242422008
"373",19,"aller",0.00342123535108577
"374",19,"devoir",0.00340029386464495
"375",19,"19",0.00336909599246962
"376",19,"après",0.00334409778459009
"377",19,"expliquer",0.00322122889609217
"378",19,"mai",0.00320727028790953
"379",19,"crise",0.00320040759204958
"380",19,"premier",0.00306914587533867
"381",20,"covid",0.00617073294815386
"382",20,"19",0.00602508732613245
"383",20,"après",0.0051647708870048
"384",20,"même",0.00479414360781705
"385",20,"depuis",0.00470460155006782
"386",20,"septembre",0.00434427080594051
"387",20,"france",0.00425889096047625
"388",20,"deux",0.00425199206727012
"389",20,"bien",0.00386538259912087
"390",20,"dont",0.00370743295495094
"391",20,"cas",0.00350940584896986
"392",20,"contre",0.00341935891033347
"393",20,"jour",0.00340144658136312
"394",20,"sans",0.00329046910417117
"395",20,"an",0.00322203393560716
"396",20,"nouveau",0.00310476645714872
"397",20,"crise",0.00310198703696384
"398",20,"celui",0.00303329101372425
"399",20,"fin",0.00284615278073782
"400",20,"aller",0.00266159429855417
"401",21,"19",0.00796987281235686
"402",21,"covid",0.00742294924475096
"403",21,"pays",0.00704797853006436
"404",21,"premier",0.00664835121039056
"405",21,"etat",0.00635080371371771
"406",21,"france",0.00615535049469417
"407",21,"même",0.00600437702380615
"408",21,"crise",0.00552178890083825
"409",21,"devoir",0.00520445600657173
"410",21,"depuis",0.00519046106467061
"411",21,"000",0.00457326441693387
"412",21,"nouveau",0.00444273661366987
"413",21,"français",0.00414181886615543
"414",21,"mettre",0.00413425373158794
"415",21,"président",0.00397622130527045
"416",21,"autre",0.00384935462243755
"417",21,"après",0.0038421050872488
"418",21,"si",0.00381829598767742
"419",21,"permettre",0.00361299656744472
"420",21,"année",0.00347133337874895
"421",22,"devoir",0.00641712922235875
"422",22,"si",0.00629937912356397
"423",22,"pays",0.00538789983059722
"424",22,"après",0.00507624709582453
"425",22,"19",0.00500861070565155
"426",22,"aller",0.00484138503786805
"427",22,"ministre",0.00453823738234064
"428",22,"euro",0.00438092287042144
"429",22,"selon",0.00420046244685974
"430",22,"million",0.0041628069060575
"431",22,"premier",0.00407844213795429
"432",22,"jour",0.004059321304825
"433",22,"prendre",0.00395757459115518
"434",22,"grand",0.00388324129811103
"435",22,"deux",0.0038591903023342
"436",22,"masque",0.00369751205899404
"437",22,"nouveau",0.00362297454926999
"438",22,"confinement",0.00330120228981134
"439",22,"coronavirus",0.00324890745886667
"440",22,"virus",0.00323682141725619
"441",23,"premier",0.00814551560176596
"442",23,"devoir",0.00696652949832994
"443",23,"prendre",0.00694810510043968
"444",23,"19",0.00552477607488935
"445",23,"000",0.00496002888429464
"446",23,"pays",0.00481425904094414
"447",23,"autre",0.00473108929933293
"448",23,"cas",0.00468846841652189
"449",23,"mars",0.0045649757955895
"450",23,"deux",0.00430380765333734
"451",23,"ministre",0.00423206480147521
"452",23,"santé",0.00413689270724213
"453",23,"même",0.00411585536033245
"454",23,"covid",0.0041130261099872
"455",23,"2",0.00409871066023742
"456",23,"coronavirus",0.00408421834651752
"457",23,"jour",0.00407887485572103
"458",23,"an",0.00386538214167936
"459",23,"déjà",0.00376153398330689
"460",23,"mesure",0.00361308814316561
"461",24,"août",0.00612940961811505
"462",24,"19",0.00511408703281261
"463",24,"premier",0.00444507794945888
"464",24,"masque",0.00394879212548156
"465",24,"devoir",0.00389844348311233
"466",24,"sans",0.00335329230528773
"467",24,"covid",0.00324027495981097
"468",24,"aller",0.00323242602530953
"469",24,"depuis",0.00320650511612325
"470",24,"cas",0.00306917016830608
"471",24,"avant",0.00306799423404218
"472",24,"après",0.00306684802379582
"473",24,"nouveau",0.00282192014308636
"474",24,"france",0.00277002611007089
"475",24,"jour",0.00276169528027449
"476",24,"an",0.00269484444579874
"477",24,"nombre",0.00268834892049364
"478",24,"semaine",0.00268274541605093
"479",24,"ministre",0.00265688817571505
"480",24,"mettre",0.00260224459169601
"481",25,"président",0.00723052277717473
"482",25,"si",0.00635034681289666
"483",25,"mesure",0.00601232962115337
"484",25,"septembre",0.00586386122472406
"485",25,"devoir",0.0056840543892602
"486",25,"selon",0.00557848178080467
"487",25,"19",0.00499807516257094
"488",25,"entre",0.00467585977440968
"489",25,"semaine",0.00430239124112175
"490",25,"mois",0.00407511842056801
"491",25,"public",0.00394876107035358
"492",25,"nombre",0.00384562651229225
"493",25,"mettre",0.00381531207260698
"494",25,"premier",0.00373434673746604
"495",25,"nouveau",0.00372699750933069
"496",25,"rester",0.00369396250424914
"497",25,"avant",0.0036599625400725
"498",25,"france",0.00365046550123235
"499",25,"pays",0.00360894249037889
"500",25,"000",0.00352274272115419
